term,status,start_time,end_time,contexts_found,contexts_analyzed,off_target_count,on_target_count,ambiguous_count
breastfeed + people,completed,1747009022.63053,1747009022.63636,0,0,0,0,0
breastfeed + person,completed,1747009322.64807,1747009322.6701,0,0,0,0,0
chestfeed + people,completed,1747009322.6766,1747009322.68515,0,0,0,0,0
chestfeed + person,completed,1747009622.70072,1747009622.72191,0,0,0,0,0
clean energy,completed,1747009622.72862,1747009629.1122,NA,6,NA,NA,NA
climate crisis,completed,1747009929.40617,1747009935.3934,NA,5,NA,NA,NA
climate science,completed,1747009935.66648,1747009957.40326,NA,20,NA,NA,NA
commercial sex worker,completed,1747010257.6859,1747010257.70624,0,0,0,0,0
community diversity,completed,1747010257.71339,1747010257.7226,0,0,0,0,0
community equity,completed,1747010557.73772,1747010559.15433,NA,1,NA,NA,NA
confirmation bias,completed,1747010559.44659,1747010559.45255,0,0,0,0,0
cultural competence,completed,1747010859.46629,1747010885.60802,NA,23,NA,NA,NA
cultural differences,completed,1747010885.94127,1747010889.45156,NA,3,NA,NA,NA
cultural heritage,completed,1747011189.83669,1747011199.87256,NA,9,NA,NA,NA
cultural sensitivity,completed,1747011200.1999,1747011209.52919,NA,8,NA,NA,NA
culturally appropriate,completed,1747011509.80884,1747011543.49495,NA,29,NA,NA,NA
culturally responsive,completed,1747011543.77931,1747011647.67367,NA,98,NA,NA,NA
dei,completed,1747011947.98109,1747012005.38678,NA,56,NA,NA,NA
deia,completed,1747012005.66083,1747012010.23474,NA,4,NA,NA,NA
deiab,completed,1747012310.5187,1747012310.53913,0,0,0,0,0
deij,completed,1747012310.54613,1747012322.12265,NA,11,NA,NA,NA
disabilities,completed,1747012622.40608,1747012683.34562,NA,60,NA,NA,NA
disability,completed,1747012683.63128,1747012763.99717,NA,75,NA,NA,NA
discriminated,completed,1747013064.29628,1747013065.61453,NA,1,NA,NA,NA
discrimination,completed,1747013065.90259,1747013099.09309,NA,222,NA,NA,NA
discriminatory,completed,1747013399.38691,1747013422.29033,NA,22,NA,NA,NA
disparity,completed,1747013422.63619,1747013486.21513,NA,405,NA,NA,NA
diverse,completed,1747013786.51893,1747013917.70352,NA,850,NA,NA,NA
diverse backgrounds,completed,1747013918.02434,1747013978.01763,NA,55,NA,NA,NA
diverse communities,completed,1747014278.32089,1747014313.41668,NA,33,NA,NA,NA
diverse community,completed,1747014313.75002,1747014325.61834,NA,11,NA,NA,NA
diverse group,completed,1747014625.90643,1747014677.55104,NA,47,NA,NA,NA
diverse groups,completed,1747014677.82889,1747014694.47199,NA,16,NA,NA,NA
diversified,completed,1747014994.75713,1747015002.74343,NA,8,NA,NA,NA
diversify,completed,1747015003.10138,1747015028.0779,NA,158,NA,NA,NA
diversifying,completed,1747015328.4433,1747015404.3707,NA,75,NA,NA,NA
diversity,completed,1747015404.72758,1747015502.78681,NA,642,NA,NA,NA
enhance the diversity,completed,1747015803.08565,1747015805.58022,NA,2,NA,NA,NA
enhancing diversity,completed,1747015805.87817,1747015814.08097,NA,8,NA,NA,NA
environmental quality,completed,1747016114.3823,1747016118.00172,NA,3,NA,NA,NA
equal opportunity,completed,1747016118.29046,1747016120.18301,NA,2,NA,NA,NA
equality,completed,1747016420.49849,1747016508.38527,NA,82,NA,NA,NA
equitable,completed,1747016508.68046,1747016558.84274,NA,312,NA,NA,NA
equitableness,completed,1747016859.15901,1747016859.18176,0,0,0,0,0
equity,completed,1747016859.18881,1747016981.98286,NA,781,NA,NA,NA
ethnicity,completed,1747017282.27422,1747017306.04238,NA,142,NA,NA,NA
excluded,completed,1747017306.36313,1747017667.50076,NA,63,NA,NA,NA
exclusion,completed,1747018481.36982,1747019426.80554,NA,83,NA,NA,NA
expression,completed,1747019427.0839,1747019498.22205,NA,68,NA,NA,NA
female,completed,1747020056.17563,1747020084.80783,NA,167,NA,NA,NA
females,completed,1747020085.14224,1747020125.1887,NA,37,NA,NA,NA
feminism,completed,1747020425.52331,1747020425.54746,0,0,0,0,0
fostering inclusivity,completed,1747020425.55528,1747020425.5642,0,0,0,0,0
gbv,completed,1747020725.57628,1747020726.71115,NA,1,NA,NA,NA
gender,completed,1747020727.04903,1747020835.54513,NA,668,NA,NA,NA
gender based,completed,1747021135.8477,1747021135.86955,0,0,0,0,0
gender based violence,completed,1747021135.87734,1747021135.88637,0,0,0,0,0
gender diversity,completed,1747021435.90188,1747021466.31157,NA,25,NA,NA,NA
gender identity,completed,1747021466.60508,1747021487.91424,NA,119,NA,NA,NA
gender ideology,completed,1747021788.24684,1747021788.2683,0,0,0,0,0
gender-affirming care,completed,1747021788.27605,1747021798.7642,NA,9,NA,NA,NA
genders,completed,1747022099.05755,1747022116.14307,NA,15,NA,NA,NA
gulf of mexico,completed,1747022116.44402,1747022116.44988,0,0,0,0,0
hate speech,completed,1747022416.45918,1747022425.66802,NA,7,NA,NA,NA
health disparity,completed,1747022425.95125,1747022471.3154,NA,256,NA,NA,NA
health equity,completed,1747022771.647,1747022794.29757,NA,128,NA,NA,NA
hispanic minority,completed,1747022794.6336,1747022794.6424,0,0,0,0,0
historically,completed,1747023094.65734,1747023158.66736,NA,402,NA,NA,NA
identity,completed,1747023159.04126,1747023229.64161,NA,436,NA,NA,NA
immigrants,completed,1747023530.14088,1747023541.88379,NA,10,NA,NA,NA
implicit bias,completed,1747023542.1648,1747023561.26466,NA,18,NA,NA,NA
implicit biases,completed,1747023861.55116,1747023867.20064,NA,5,NA,NA,NA
inclusion,completed,1747023867.49153,1747023928.81189,NA,357,NA,NA,NA
inclusive,completed,1747024229.13986,1747024296.44088,NA,405,NA,NA,NA
inclusive leadership,completed,1747024296.75477,1747024297.85134,NA,1,NA,NA,NA
inclusiveness,completed,1747024598.24746,1747024605.06734,NA,6,NA,NA,NA
inclusivity,completed,1747024605.46604,1747024663.19223,NA,53,NA,NA,NA
increase diversity,completed,1747024963.50422,1747024984.81138,NA,20,NA,NA,NA
increase the diversity,completed,1747024985.09131,1747025015.26691,NA,27,NA,NA,NA
indigenous community,completed,1747025315.55166,1747025327.66231,NA,11,NA,NA,NA
inequalities,completed,1747025328.01428,1747025350.0227,NA,122,NA,NA,NA
inequality,completed,1747025650.35824,1747025729.46505,NA,72,NA,NA,NA
inequitable,completed,1747025729.8455,1747025775.2209,NA,40,NA,NA,NA
inequities,completed,1747026075.5081,1747026123.04874,NA,280,NA,NA,NA
inequity,completed,1747026123.34205,1747026146.02515,NA,132,NA,NA,NA
injustice,completed,1747026446.32844,1747026477.81778,NA,30,NA,NA,NA
institutional,completed,1747026478.1002,1747026563.77362,NA,474,NA,NA,NA
intersectional,completed,1747026864.07284,1747026904.95097,NA,230,NA,NA,NA
intersectionality,completed,1747026905.23778,1747026925.2803,NA,109,NA,NA,NA
key groups,completed,1747027225.60685,1747027225.62732,0,0,0,0,0
key people,completed,1747027225.63456,1747027225.64304,0,0,0,0,0
key populations,completed,1747027525.65526,1747027532.7755,NA,6,NA,NA,NA
latinx,completed,1747027533.13226,1747027563.46596,NA,171,NA,NA,NA
lgbt,completed,1747027863.79084,1747027947.91965,NA,74,NA,NA,NA
lgbtq,completed,1747027948.30588,1747028011.24023,NA,56,NA,NA,NA
marginalize,completed,1747028311.55606,1747028359.23237,NA,281,NA,NA,NA
marginalized,completed,1747028359.51367,1747028406.6464,NA,272,NA,NA,NA
men who have sex with men,completed,1747028706.9779,1747028729.08694,NA,107,NA,NA,NA
mental health,completed,1747028729.41094,1747028774.82106,NA,251,NA,NA,NA
minorities,completed,1747029075.12153,1747029117.40699,NA,247,NA,NA,NA
minority,completed,1747029117.737,1747029244.35593,NA,723,NA,NA,NA
most risk,completed,1747029544.66087,1747029547.2387,NA,2,NA,NA,NA
msm,completed,1747029547.52131,1747029642.6981,NA,83,NA,NA,NA
multicultural,completed,1747029943.05945,1747029969.3198,NA,23,NA,NA,NA
mx,completed,1747029969.60133,1747029973.2328,NA,3,NA,NA,NA
native american,completed,1747030273.52923,1747030363.76906,NA,81,NA,NA,NA
non-binary,completed,1747030364.18193,1747030383.32367,NA,16,NA,NA,NA
nonbinary,completed,1747030683.63407,1747030736.00493,NA,44,NA,NA,NA
oppression,completed,1747030736.34906,1747030767.90407,NA,27,NA,NA,NA
oppressive,completed,1747031068.21953,1747031076.39449,NA,8,NA,NA,NA
orientation,completed,1747031076.74645,1747031100.50411,NA,129,NA,NA,NA
people + uterus,completed,1747031400.82208,1747031400.84704,0,0,0,0,0
people-centered care,completed,1747031400.85541,1747031400.8644,0,0,0,0,0
person-centered,completed,1747031700.87633,1747031705.96159,NA,4,NA,NA,NA
person-centered care,completed,1747031706.30282,1747031707.26681,NA,1,NA,NA,NA
polarization,completed,2025-05-12 06:54:51.14242,2025-05-12 06:55:06.243507,NA,13,NA,NA,NA
political,completed,2025-05-12 06:55:06.533112,2025-05-12 06:55:24.95087,NA,123,NA,NA,NA
pollution,completed,2025-05-12 07:00:25.303372,2025-05-12 07:00:49.113926,NA,22,NA,NA,NA
pregnant people,completed,2025-05-12 07:00:49.471928,2025-05-12 07:00:51.68149,NA,2,NA,NA,NA
pregnant person,completed,2025-05-12 07:05:51.96083,2025-05-12 07:05:55.488433,NA,3,NA,NA,NA
pregnant persons,completed,2025-05-12 07:05:55.769429,2025-05-12 07:05:59.00326,NA,3,NA,NA,NA
prejudice,completed,2025-05-12 07:10:59.309584,2025-05-12 07:11:31.393058,NA,29,NA,NA,NA
privilege,completed,2025-05-12 07:11:31.732065,2025-05-12 07:12:03.355899,NA,29,NA,NA,NA
privileges,completed,2025-05-12 07:17:03.669819,2025-05-12 07:17:06.709101,NA,3,NA,NA,NA
promote diversity,completed,2025-05-12 07:17:07.054725,2025-05-12 07:17:23.030733,NA,14,NA,NA,NA
promoting diversity,completed,2025-05-12 07:22:23.310615,2025-05-12 07:22:41.46902,NA,17,NA,NA,NA
pronoun,completed,2025-05-12 07:22:41.805704,2025-05-12 07:22:53.807433,NA,10,NA,NA,NA
pronouns,completed,2025-05-12 07:27:54.101775,2025-05-12 07:27:55.235846,NA,1,NA,NA,NA
prostitute,completed,2025-05-12 07:27:55.550386,2025-05-12 07:27:55.558948,0,0,0,0,0
race,completed,2025-05-12 07:32:55.568589,2025-05-12 07:34:08.940788,NA,492,NA,NA,NA
race and ethnicity,completed,2025-05-12 07:34:09.159408,2025-05-12 07:34:36.685775,NA,25,NA,NA,NA
racial,completed,2025-05-12 07:39:36.980235,2025-05-12 07:41:00.86424,NA,571,NA,NA,NA
racial diversity,completed,2025-05-12 07:41:01.192852,2025-05-12 07:42:07.140571,NA,55,NA,NA,NA
racial identity,completed,2025-05-12 07:47:07.425013,2025-05-12 07:47:40.917592,NA,29,NA,NA,NA
racial inequality,completed,2025-05-12 07:47:41.191185,2025-05-12 07:47:43.445685,NA,2,NA,NA,NA
racial justice,completed,2025-05-12 07:52:43.741295,2025-05-12 07:52:59.523113,NA,14,NA,NA,NA
racially,completed,2025-05-12 07:52:59.808298,2025-05-12 07:54:46.741936,NA,99,NA,NA,NA
racism,completed,2025-05-12 07:59:47.037074,2025-05-12 08:00:13.029656,NA,165,NA,NA,NA
segregation,completed,2025-05-12 08:00:13.306878,2025-05-12 08:00:58.815353,NA,42,NA,NA,NA
sense of belonging,completed,2025-05-12 08:05:59.154667,2025-05-12 08:06:20.838224,NA,129,NA,NA,NA
sex,completed,2025-05-12 08:06:21.180149,2025-05-12 08:07:34.684019,NA,471,NA,NA,NA
sexual preferences,completed,2025-05-12 08:12:34.914162,2025-05-12 08:12:34.938899,0,0,0,0,0
sexuality,completed,2025-05-12 08:12:34.945997,2025-05-12 08:13:22.440594,NA,39,NA,NA,NA
social justice,completed,2025-05-12 08:18:22.723545,2025-05-12 08:19:26.005182,NA,56,NA,NA,NA
sociocultural,completed,2025-05-12 08:19:26.350093,2025-05-12 08:20:01.676476,NA,31,NA,NA,NA
socioeconomic,completed,2025-05-12 08:25:01.970837,2025-05-12 08:25:24.826391,NA,143,NA,NA,NA
status,completed,2025-05-12 08:25:25.201766,2025-05-12 08:26:02.856266,NA,243,NA,NA,NA
stereotype,completed,2025-05-12 08:31:03.166627,2025-05-12 08:32:11.149576,NA,61,NA,NA,NA
stereotypes,completed,2025-05-12 08:32:11.43989,2025-05-12 08:33:03.995207,NA,47,NA,NA,NA
systemic,completed,2025-05-12 08:38:04.282443,2025-05-12 08:38:54.802377,NA,324,NA,NA,NA
systemically,completed,2025-05-12 08:38:55.16351,2025-05-12 08:38:59.255195,NA,4,NA,NA,NA
they/them,completed,2025-05-12 08:43:59.565826,2025-05-12 08:43:59.589627,0,0,0,0,0
trans,completed,2025-05-12 08:43:59.597002,2025-05-12 08:47:12.146067,NA,1185,NA,NA,NA
transgender,completed,2025-05-12 08:52:12.430465,2025-05-12 08:52:53.238894,NA,239,NA,NA,NA
transsexual,completed,2025-05-12 08:52:53.565571,2025-05-12 08:52:53.571718,0,0,0,0,0
trauma,completed,2025-05-12 08:57:53.581304,2025-05-12 08:59:06.218867,NA,65,NA,NA,NA
traumatic,completed,2025-05-12 08:59:06.532161,2025-05-12 08:59:35.630113,NA,27,NA,NA,NA
tribal,completed,2025-05-12 09:04:35.975151,2025-05-12 09:05:16.32443,NA,37,NA,NA,NA
unconscious bias,completed,2025-05-12 09:05:16.623364,2025-05-12 09:05:23.620364,NA,6,NA,NA,NA
underappreciated,completed,2025-05-12 09:10:23.913857,2025-05-12 09:10:23.938402,0,0,0,0,0
underprivileged,completed,2025-05-12 09:10:23.955474,2025-05-12 09:10:26.476083,NA,2,NA,NA,NA
underrepresentation,completed,2025-05-12 09:15:26.773725,2025-05-12 09:16:27.177902,NA,50,NA,NA,NA
underrepresented,completed,2025-05-12 09:16:27.48935,2025-05-12 09:18:27.342225,NA,703,NA,NA,NA
underserved,completed,2025-05-12 09:23:27.666962,2025-05-12 09:23:57.688072,NA,181,NA,NA,NA
undervalued,completed,2025-05-12 09:23:57.991428,2025-05-12 09:24:05.504799,NA,6,NA,NA,NA
victim,completed,2025-05-12 09:29:05.834776,2025-05-12 09:30:00.579238,NA,48,NA,NA,NA
victims,completed,2025-05-12 09:30:00.925033,2025-05-12 09:30:09.071462,NA,7,NA,NA,NA
vulnerable populations,completed,2025-05-12 09:35:09.431514,2025-05-12 09:37:01.322943,NA,91,NA,NA,NA
women,completed,2025-05-12 09:37:01.605184,2025-05-12 09:38:22.570069,NA,486,NA,NA,NA
women and underrepresented,completed,2025-05-12 09:43:22.802819,2025-05-12 09:43:47.842822,NA,22,NA,NA,NA
