Grant Number,project_title,termination_date,org_name,org_city,org_state,org_district,usaspending_obligated,award_type,directorate_abbrev,directorate,division,nsf_program_name,nsf_url,usaspending_url,nsf_startdate,nsf_expected_end_date,org_zip,org_uei,abstract,in_cruz_list
2214215,Collaborative Research: HNDS-R: Dynamics and Mechanisms of Information Spread via Social Media,2025-04-18,University of California-Los Angeles,LOS ANGELES,CA,CA36,$327276,Standard Grant,SBE,"""Social, Behavioral and Economic Sciences""",Behavioral and Cognitive Sciences,Human Networks & Data Sci Infr,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2214215,https://www.usaspending.gov/award/ASST_NON_2214215_4900,2022-08-15,2025-07-31,900244200,RN64EPNH8JC6,"There has never been so much information available at everyone’s fingertips than there is today. Unfortunately, with so much information  comes a lot of misinformation that can be spread to human populations and adopted by them as the truth. Understanding how information flows and its impact on human behavior is important for determining how to protect society from the effects of misinformation, propaganda, and “fake news.”   This project traces how information spreads on social media channels and how ideas, opinions, and beliefs change as they spread.  Conducting this research requires combining concepts from computational social sciences, computer science, sociology, and statistics to understand the fundamentals of information spread in social media    This project develops a new approach to the study of information diffusion that brings together several different mechanisms for information flow.  Together these are used to analyze how information spreads in social media.  The research has two main goals: First, it will spot and predict opinion trends and identify users’ polarization on topics of broad interest to society (e.g., climate change or the Covid-19 pandemic). Second, it will track information propagation to understand its role in shaping opinion trends and identify the factors that are important for its spread and adoption. The researchers have access to a large amount of data that permits them to build and test large-scale models of information diffusion.  The outcomes of this project include new computer algorithms that are capable of understanding information flow in social media and new avenues for research in the science of information spread and diffusion.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",
2318257,"Collaborative Research: An Equitable, Justice-Focused Ecosystem for Pacific Northwest Secondary CS Teaching",2025-04-18,University of Washington,SEATTLE,WA,WA07,$1086476,Standard Grant,CISE,Computer and Information Science and Engineering,Computer and Network Systems,CSforAll-Computer Sci for All,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2318257,https://www.usaspending.gov/award/ASST_NON_2318257_4900,2023-10-01,2027-09-30,981951016,HD1WMN6945W6,"The University of Washington, Central Washington University, Western Washington University, Whitworth University, and Washington State University will bring together leaders of pre-service programs, Computer Science Teachers Association (CSTA) chapters, Educational Service Districts (ESD), CTE directors, community organizations, and researchers to realize justice-focused secondary CS education in Washington, Oregon, and Idaho. School districts across the country need more secondary computer science teachers, especially those who share the identities, values, and lived experiences of the students they teach. However, pathways for preparing and supporting computer science teachers are only just emerging, and many are struggling to recruit promising teachers into the profession and retain them long term. This project seeks to serve students and teachers who are women, African-Americans, Hispanics, Native Americans, and/or disabled, specifically by creating pathways into computer science teaching for teachers with these identities. This project will create a consortium of emerging pre-service programs across the Pacific Northwest to address, strengthen, and mature computer science teaching pathways in four ways: 1) organizing and sharing information about teaching pathways, 2) identifying and resolving key barriers to pathways that aspiring teachers face, 3) supporting computers science teacher community building in partnership with new and existing computer science teachers association chapters, and 4) supporting administrative leaders who manage and grow these pathways.     The CSforAll High School Strand project’s approach is to build an evidence-based networked improvement community, which deeply engages stakeholders across the region to identify opportunities for change, develop sustainable cross-institutional coordination practices, and use research as one tool of many to inform approaches to change. Research will particularly focus on answering 1) who is and isn’t informed about CS teaching pathways, and why; 2) what barriers aspiring teacher with identities marginalized in CS face in pursuing CS teaching careers; 3) how community gatherings amongst teachers with marginalized identities can support teacher retention; and 4) how solidarity amongst teacher education administrative leaders can support sustainability of pathways. These questions will be posed across urban and rural divides, helping to inform how values, communities, and state politics shape equitable access to computer science education in secondary schools across the Pacific Northwest.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2243822,"NRT-HDR: Computational Research for Equity in the Legal System"" (CRELS)",2025-04-18,University of California-Berkeley,BERKELEY,CA,CA12,$3000000,Standard Grant,EDU,STEM Education,Graduate Education,NSF Research Traineeship (NRT),https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243822,https://www.usaspending.gov/award/ASST_NON_2243822_4900,2023-07-01,2028-06-30,947101749,GS3YEVSS12N6,"The criminal legal system is an important driver of inequities and social and economic polarization, and legal institutions are at the leading edge of use – and misuse – of artificial intelligence. The increasing availability of “big data” from (and about) criminal legal systems – and the people who are enmeshed in them – provides a new opportunity to illuminate inequities and their sources. This National Science Foundation Research Traineeship (NRT) award to the University of California, Berkeley will develop novel interventions to reduce inequities and their resulting harms  in criminal legal systems.  New scientific knowledge will be generated through the development of tools for large-scale, ""human-in-the-loop"" analysis of criminal justice data, and will be used in the generation of new insights regarding legal system processes, impacts, and institutions. Faculty and trainees will collaborate across disciplines to simultaneously address social-science and policy questions regarding equity and criminal legal institutions, the development of tools and methods for leveraging newly available data from the criminal legal system, and ethical and social implications of big data and AI in the context of criminal justice. This NRT will train a new generation of researchers interested in computational approaches to equity and legal systems, enabling them to develop and evaluate public policy solutions that can mitigate social and economic polarization. It will also train a diverse workforce with flexible and transferrable computational skills, while also training social and data scientists in ethical AI and its social implications. It will create a transformative, cross-disciplinary model for graduate training at Berkeley and elsewhere, while also developing a broad-based recruiting and mentoring program to enhance training of students from underrepresented groups, which, in turn, helps to diversify the STEM workforce. The project anticipates training 50 PhD students, including 25 funded trainees, from the Social Sciences, Computer Science, and Statistics.      Recent public and policy interest in the criminal legal system coupled with new government efforts to make data public and leverage data for public policy creates new opportunities to study the criminal legal system, but only if such data can be made ready for analysis. The criminal legal system is critical terrain for evaluating how pervasive data collection and algorithmic decision-making can be brought into the service of society, while addressing potent challenges that can accompany these approaches. Big data and AI can give us broader and more precise knowledge of the dynamics of social systems and hold potential to increase transparency and support fairer decision-making. At the same time, areas relating to criminal justice have seen a massive expansion of surveillance, data production and reuse, and algorithmic decision-making often without oversight, recourse, or evidence about effectiveness in addressing underlying issues. Data technologies in criminal justice have grounded new social schema of classification and accompanying social hierarchies – from recidivism risk scores to predictive policing – with important implications for opportunity and life chances. Our goal is to develop tools for continuous ingestion, integration, and cleaning of structured and unstructured data, and the analysis of such data. Using a combination of large pre-trained AI models coupled with data management and human-computer interaction techniques, we will develop tools to ingest information from various government and online sources, turning it into structured data for analysis. These efforts will lead to novel and generalizable tools for semi-autonomous and continuous data processing, as well as integration at scale, that also preserves privacy and promotes equity.    The NSF Research Traineeship (NRT) Program is designed to encourage the development and implementation of bold, new potentially transformative models for STEM graduate education training. The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas through comprehensive traineeship models that are innovative, evidence-based, and aligned with changing workforce and research needs.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2315277,Building Capacity to Institutionalize Equity in Outdoor and Environmental Science Education,2025-04-18,University of California-Berkeley,BERKELEY,CA,CA12,$1701416,Continuing Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,AISL,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2315277,https://www.usaspending.gov/award/ASST_NON_2315277_4900,2024-01-01,2028-12-31,947101749,GS3YEVSS12N6,"This project aims to advance racial equity in outdoor and environmental science education (OESE) by co-developing, implementing, and studying a replicable model for organizational capacity building and transformation. This project will increase the capacity of organizations to build more racially just and equitable work environments for Professionals of Color in OESE.  It is a collaboration among a research and learning design team at a large public university (the Lawrence Hall of Science at the University of California, Berkeley), a community-based racial and environmental justice organization (Justice Outside), and a data and strategic consultancy firm (Informing Change). The project will support a team of leaders from five organizations to facilitate and guide organization-wide discussions related to racial equity. Through this work, the project will develop and formalize a Racial Equity Transformation Tool Kit to activate field-wide change. The Tool Kit will include three components: 1) Facilitator's Reflection Guide, 2) Foundations of Racial Equity Guide, and 3) Organization Systems Change Tools. The project includes collaborative and interconnected research and evaluation components to inform project activities, assess the effectiveness of the capacity-building model, and examine how race and power shape the everyday experiences of Professionals of Color and the organizational journey to advance systems change.    Drawing on a racialized conditions of systems change framework, research findings will build on theoretical and practical understandings of how racialized conditions shape the enactment of organizational transformation towards a more racially just and equitable work environment, namely for Professionals of Color.). The project will explore three research questions using a qualitative, case study approach: (RQ1) What are the conditions necessary in OESE organizations to move towards a racially equitable and just work environment for Professionals of Color, and what can transformative change look like?; (RQ2) What are meaningful indicators for Professionals of Color of a racially just and equitable work environment in OESE organizations?; and (RQ3) How do Professionals of Color make meaning of their experiences in the field-at-large, and what factors shape the experiences of Professionals of Color? The evaluation will utilize a mixed-methods design to explore the key design and implementation features that can employ critical levers or address barriers to position participants to authentically engage in organizational transformation. Collectively, the research and evaluation will lead to new understandings of how to conceptualize, enact, and assess systems change in OESE organizations, which can offer critical insights to STEM education more broadly. By bridging research and evaluation, the project will provide insight with respect to Racialized Conditions of Systems Change framework, exploring the interplay between the social, institutional, cultural, and individual factors and organizational conditions to identify key indicators of systems change.    This project is funded through the Racial Equity in STEM Education activity (EDU Racial Equity). The activity supports research and practice projects that investigate how considerations of racial equity factor into the improvement of science, technology, engineering, and mathematics (STEM) education and workforce. Awarded projects seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the STEM enterprise. This activity aligns with NSF's core value of supporting outstanding researchers and innovative thinkers from across the Nation's diversity of demographic groups, regions, and types of organizations. Programs across EDU contribute funds to the Racial Equity activity in recognition of the alignment of its projects with the collective research and development thrusts of the four divisions of the directorate.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2314435,"Collaborative Research: Electoral Systems, Suburbanization, and Representation",2025-04-18,University of California-Berkeley,BERKELEY,CA,CA12,$37805,Standard Grant,SBE,"""Social, Behavioral and Economic Sciences""",Social and Economic Sciences,AIB-Acctble Institutions&Behav,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2314435,https://www.usaspending.gov/award/ASST_NON_2314435_4900,2023-08-01,2025-07-31,947101749,GS3YEVSS12N6,"One traditional solution to electoral concerns about constituent representation in local government is to abolish large multi-member districts and create smaller, single-winner electoral districts, some of which are designed to encompass minority neighborhoods. While this traditional remedy might help under some conditions, there is a strong possibility that it may not work as well in rapidly changing metro areas. Such areas are common, as residents migrate to and from city centers and suburban neighborhoods. Some suburban areas have become heterogeneous, while others have become homogeneous. In such contexts, because of the nature of candidate recruitment, the traditional remedy of creating smaller/single-winner districts could backfire and limit the effectiveness of potential remedy for identified representational concern. This study explores the conditions under which minority representation can be achieved in the context of ongoing suburbanization and gentrification. The study will also make a wealth of fine-grained data available to researchers and members of the public through a user-friendly web interface.       The study explores the conditions under which descriptive and substantive representation can be achieved in the context of ongoing suburbanization and gentrification, paying special attention to two of the most important electoral systems used for local governance: multi-seat at-large and single-member district plurality.  Specifically, the project will include a large-scale data collection effort combining population demographics, candidate characteristics, institutional structure, and policy outcomes for 88 municipalities and 22 school districts from 1970 to the present. The project team will conduct representative surveys of voters, elected officials, and past candidates. Data will be analyzed to identify the conditions under which minorities run for local office and are successful as well as the conditions under which descriptive representation leads to substantive representation. As time-honored tools for protecting minority voting rights and representation are being invalidated by courts, these data will provide crucial evidence regarding new reform efforts relevant to many urban areas around the country.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2314075,Understanding the Impact of Outdoor Science and Environmental Learning Experiences Through Community-Driven Outcomes,2025-04-18,University of California-Berkeley,BERKELEY,CA,CA12,$1583195,Continuing Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,AISL,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2314075,https://www.usaspending.gov/award/ASST_NON_2314075_4900,2024-01-01,2027-12-31,947101749,GS3YEVSS12N6,"Scientific and environmental literacy are valuable outcomes linked to academic learning, career pathways, and broader engagement in science and environmental fields and causes. However, while current tools for measuring these concepts are useful for measuring some dimensions of impact, they are aligned with dominant views that can marginalize, exclude, and erase the knowledge and expertise of communities of color. This project will employ a community-driven process, centering the voices of communities of color, to identify meaningful and relevant outcomes and develop research tools to measure scientific and environmental literacy. We will then conduct a national study to measure the impact of outdoor science and environmental learning (OSEL) experiences on students' scientific and environmental literacy. This study will contribute new understandings of how race and culture influence learning, as well as how racism and biases have shaped research to date. This project will produce a suite of psychometrically tested tools that are driven by communities of color, improving the field's ability to measure learning outcomes while also taking one step to counteract a long history of marginalization in research. The work will contribute to existing bodies of literature on the benefits of outdoor learning and the role OSEL experiences can play in developing science and environmental literacy.     The research will explore four questions across three phases. Phase 1 (Defining Outcomes) will explore: (1) What do scientific literacy and environmental literacy mean to communities of color? and (2) What outcomes are most meaningful for youth of color who engage in outdoor science learning experiences, and how can they be measured? A Community Research Network (CRN) composed of youth, educators, leaders, and community members of partnering OSEL organizations will engage in an iterative process of idea generation, data collection, and sensemaking to articulate and co-develop a set of outcome measures. These measures will be piloted with heterogeneous organizations serving diverse communities and will result in finalized items and scales. In Phase 2 (Measuring Impact) will explore: (3) In what ways do OSEL programs influence scientific and environmental outcomes for youth, particularly youth of color? (4) How do youth of color make meaning of these experiences? Phase 2 will include a quantitative study, using the instruments developed in Phase 1, at OSEL programs across the country, while also seeking to understand how youth of color make meaning of these experiences through a focal student case study approach at selected case sites. Finally, in Phase 3, the research team and the CRN will collaborate to share findings with the field, including through a conceptual framework that articulates the outcomes and structures within and adjacent to OSEL organizations that enable youth to thrive. Built on the premise that both research and praxis in OSEL have reinforced the oppression and marginalization of people of color, this project holds the goal that our community-driven approach and our creation of new community-driven measures will push researchers and practitioners to grapple with what it means to move towards more just and equitable practices in research and practice.     This Integrating Research and Practice project is funded by the Advancing Informal STEM Learning (AISL) program, which supports projects that: (a) contribute to research and practice that considers informal STEM learning's role in equity and belonging in STEM; (b) promote personal and educational success in STEM; (c) advance public engagement in scientific discovery; (d) foster interest in STEM careers; (e) create and enhance the theoretical and empirical foundations for effective informal STEM learning; (f) improve community vibrancy; and/or (g) enhance science communication and the public's engagement in and understanding of STEM and STEM processes.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2329570,A Postdoctoral Fellowship in Systematic Reviews and Meta-Analyses,2025-04-18,"Georgia State University Research Foundation, Inc.",ATLANTA,GA,GA05,$1207522,Standard Grant,EDU,STEM Education,Graduate Education,Postdoctoral Fellowships,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2329570,https://www.usaspending.gov/award/ASST_NON_2329570_4900,2023-09-01,2026-08-31,303032921,MNS7B9CVKDN7,"Improving students' performance in STEM subjects is crucial for their future career readiness and the development of essential 21st-century skills. Policymakers have prioritized education initiatives to support U.S. students' achievement in STEM. However, evidence indicates ongoing challenges in increasing mathematics and science outcomes, particularly for students from minoritized groups, including students of color, low-income students, and students with disabilities. To address this issue, teachers need access to evidence-based interventions to tailor their instruction and meet these students' learning needs, thus increasing their access to the science and math curricula. Yet, there is still much to learn about the most effective math and science interventions for these students and the conditions that impact their effectiveness. High-quality, comprehensive reviews of studies on math and science interventions focused on these students are suitable for identifying the most promising instructional practices and the conditions under which they are effective. By conducting these reviews, we can identify effective strategies and techniques to improve math and science outcomes for these students, promoting fair and equitable access to the mathematics and science curricula, and ultimately contributing to more inclusive and effective educational practices. However, a lack of scholars, especially those from minoritized backgrounds, with advanced knowledge and skills in conducting high-quality reviews to identify evidence-based mathematics and science practices for these students remains a challenge.     The post-doctoral program aims to prepare the next generation of scholars with expertise in conducting high-quality systematic reviews and meta-analyses focused on math and science outcomes for K-12 students from minoritized groups. The program emphasizes situated learning research, cohort-building, and networking to prepare a cohort of post-doctoral fellows to acquire and apply advanced techniques for conducting high-quality systematic reviews and meta-analyses to identify evidence-based interventions for increasing these students' mathematics and science proficiency. They will also explore sources of heterogeneity in these interventions to understand the conditions under which they are effective. The fellows will receive training in performing effective literature searches and coding procedures, using multilevel modeling to address complex data structures, implementing multilevel and multivariate modeling, and using machine learning algorithms for article screening and coding in hierarchical databases. Additionally, scholars will develop dissemination materials that assist teachers in effectively translating research into classroom practices. The project has the potential to contribute significantly to STEM education by increasing the number of scholars from minoritized backgrounds who can conduct high-quality systematic reviews and meta-analyses focused on evidence-based practices for minoritized students. This, in turn, will lead to more equitable and effective instructional strategies, ultimately improving mathematics and science outcomes for historically underrepresented groups.    This project is supported by NSF’s STEM Education Postdoctoral Research Fellowship (STEM Ed PRF) Program with co-funding from the Discovery Research PreK-12 Program (DRK-12). The STEM Ed PRF Program aims to enhance the research knowledge, skills, and practices of recent doctorates in STEM, STEM education, education, and related disciplines to advance their preparation to engage in fundamental and applied research that advances knowledge within the field. The DRK-12 Program seeks to significantly enhance the learning and teaching of science, technology, engineering, and mathematics (STEM) by preK-12 students and teachers, through research and development of innovative resources, models and tools. Projects in the DRK-12 program build on fundamental research in STEM education and prior research and development efforts that provide theoretical and empirical justification for proposed projects.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2215409,Hydrosocial dynamics and environmental justice in water-energy transitions,2025-04-18,Portland State University,PORTLAND,OR,OR01,$399876,Standard Grant,SBE,"""Social, Behavioral and Economic Sciences""",Behavioral and Cognitive Sciences,Human-Envi & Geographical Scis,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2215409,https://www.usaspending.gov/award/ASST_NON_2215409_4900,2022-09-01,2025-08-31,972015508,H4CAHK2RD945,"Energy and water systems are currently undergoing significant changes in response to climate change. New infrastructure proposals frequently seek to improve resilience and sustainability of energy and water supplies. Yet, these projects are often met with public controversy, including accusations of localized environmental injustice. This research examines the different ways in which communities, policymakers, and developers think about environmental justice in relation to infrastructure at the intersection of water and energy. The research focuses on an issue of increasing importance given ongoing efforts to mitigate climate change through transforming the water and energy sectors. The project will investigate how water-energy transitions and governance can be more attentive to environmental justice and community concerns. The research will engage communities directly, including Indigenous communities, and will result in a policy-facing report with community-generated recommendations in addition to academic publications.     The goal of this research is to advance understanding of the multiple perspectives on proposed water-energy nexus infrastructure and resource extraction projects, focusing on issues of environmental justice and perceptions of hydrosocial changes. The research uses qualitative methods to understand: (1) How are neighboring communities reacting to water-energy projects intended to mitigate or adapt to climate change, and the associated changes to hydrosocial dynamics? (2) What are the overlaps and differences between the ways that neighboring communities, policymakers, and developers imagine hydrosocial change and environmental justice in relation to water-energy infrastructures? (3) How are claims of environmental (in)justice framed and operationalized by public agencies, courts, environmental groups, community organizations, Tribal governments, and others involved in water-energy governance? The research contributes a stronger understanding of how different actors imagine the reshaping of hydrosocial flows and spaces through activities often considered “green” that, in practice, involve critical environmental justice issues.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2140902,Examining Blackness in Postsecondary STEM Education through a Multidimensional-Multiplicative Lens,2025-04-18,"Georgia State University Research Foundation, Inc.",ATLANTA,GA,GA05,$888676,Continuing Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,S-STEM-Schlr Sci Tech Eng&Math,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2140902,https://www.usaspending.gov/award/ASST_NON_2140902_4900,2022-09-01,2027-08-31,303032921,MNS7B9CVKDN7,"Despite well-intentioned university efforts to support Black undergraduate STEM students, policy and practice reforms run the risk of not appropriately benefiting all Black people due to pervasive, deficit-based assumptions about Black racial identities and the types of structural engagement needed to advance holistic, racial well-being in transformative and sustainable ways. Stated simply, STEM contexts do not adequately support Black undergraduate STEM students because STEM educators and practitioners remain unsure of what Blackness means for individuals, thereby constraining true racial equity endeavors. Contemporary literature regarding race posits instead that embodiment(s) of Blackness differ across multiple dimensions and axes, including ethnic identity (e.g., African American, Caribbean American, Nigerian American), place identity (e.g., South, Midwest), and generational identity (e.g., first-generation, second-generation, third plus generation). Black students from different ethnic and generational identities having varied perceptions of the racial climate and understandings of their STEM experiences. Recognizing the scope of Blackness and its implications for creating and sustaining holistic, heterogenous conceptions of racial equity in STEM, the team will establish a collaborative network among six institutions (two HBCUS, two PWIs, one majority Black institution, and one HSI) located across the Mid-Atlantic, Southeast, Southwest, and Midwest regions of the US to study how Black undergraduate STEM students’ notions of Blackness vary with respect to these dimensions.     The research team will conduct an exploratory sequential mixed methods project, integrating mosaic ethnography, survey design and administration of the survey to Black undergraduate STEM students across five states. Through these methods, the students’ conceptions of Blackness will be explored as it relates to their STEM engagement and perspectives of racial equity in STEM. In efforts to foster racial equity in STEM for all Black people, this project will produce tools of analysis (i.e., theories, research methods, qualitative and quantitative measures) and translational products (i.e., professional developments, aminations, infographics) that will change how institutional and organizational policies, practices, and future research treat Black people in STEM, thereby promoting tailored resources and supports to meet Black people’s nuanced needs. The desired outcomes from this work will inform the development and implementation of racial equity focused policies and practices in STEM education, facilitating increased access and sustained engagement in STEM for Black undergraduate students.    This collaborative project is funded through the Racial Equity in STEM Education program (EHR Racial Equity). The program supports research and practice projects that investigate how considerations of racial equity factor into the improvement of science, technology, engineering, and mathematics (STEM) education and workforce. Awarded projects seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the STEM enterprise. This program aligns with NSF’s core value of supporting outstanding researchers and innovative thinkers from across the Nation's diversity of demographic groups, regions, and types of organizations. Funds for EHR Racial Equity are pooled from programs across EHR in recognition of the alignment of its projects with the collective research and development thrusts of the four divisions of the directorate.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2301116,Collaborative Research: Examining the Longitudinal Development of Pre-Service Elementary Teachers’ Equitable Noticing of Children’s Mathematical Thinking,2025-04-18,"Georgia State University Research Foundation, Inc.",ATLANTA,GA,GA05,$135612,Continuing Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,Discovery Research K-12,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2301116,https://www.usaspending.gov/award/ASST_NON_2301116_4900,2023-08-15,2027-07-31,303032921,MNS7B9CVKDN7,"Preparing teachers to create equitable mathematics classrooms is an ongoing challenge for teacher education. This begins with helping teachers focus on children's strengths and identities as mathematics learners. Then, teachers need to be able to respond to children's experiences, knowledge, and mathematical reasoning when planning and teaching. This is particularly important for groups that have been historically marginalized in mathematics (e.g., Black, Latinx, Indigenous, Asian American Pacific Islander). Teachers also need to consider how they can create change in their schools and districts for equitable mathematics teaching and learning. There is a need for resources for teacher education programs to help pre-service teachers learn about equitable mathematics approaches to teaching and learning. The project will also develop modules, resources, and tools for exploring how teachers' understanding of equity changes from their last year of the preparation program into their first year of teaching. The tools and resources can be shared with other teacher education programs.     The project builds upon prior research about the use and development of micromodules to help preservice teachers develop positive attitudes towards mathematics, practice equitable noticing of mathematics and understand the sociopolitical influences on teaching and learning. An important component of equitable noticing is helping teachers recognize how children's identities, language and mathematical reasoning are central to learning. The research questions examine how instructional experiences for preservice teachers influence their equitable professional noticing and how teaching practices continue once they are first-year teachers. The longitudinal study uses an embedded mixed methods approach that collects data in mathematics teaching methods courses, student teaching and the first year of teaching. The research will incorporate the following data sources: an assessment suite called Multiple Assessments for Noticing Equitably (MANE), a video-based think-aloud protocol, semi-structured interviews, and other artifacts of the teacher education experience.    This project is supported by NSF's EDU Core Research (ECR) Program and the Discovery Research preK-12 Program. The ECR program emphasizes fundamental STEM education research that generates foundational knowledge in the field. Investments are made in critical areas that are essential, broad and enduring: STEM learning and STEM learning environments, broadening participation in STEM, and STEM workforce development. The Discovery Research preK-12 program (DRK-12) seeks to significantly enhance the learning and teaching of science, technology, engineering, and mathematics (STEM) by preK-12 students and teachers, through research and development of innovative resources, models, and tools. Projects in the DRK-12 program build on fundamental research in STEM education and prior research and development efforts that provide theoretical and empirical justification for proposed projects.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2204537,ADVANCE Adaptation: Creating a Destination of Choice at Missouri University of Science & Technology,2025-04-18,Missouri University of Science and Technology,ROLLA,MO,MO08,$1000000,Standard Grant,EDU,STEM Education,Equity for Excellence in STEM,ADVANCE,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2204537,https://www.usaspending.gov/award/ASST_NON_2204537_4900,2022-09-01,2026-08-31,654091330,Y6MGH342N169,"The Missouri University of Science & Technology (S&T) ADVANCE Adaptation project aims to increase the representation of women, especially women from underrepresented racial-ethnic groups, across faculty ranks and leadership positions at Missouri S&T. The university’s considerable output of engineering graduates influences the diversity of the national engineering workforce. Increasing the representation of women faculty at Missouri S&T has the potential to transform what it means to become an engineer to citizens in the region and make Missouri S&T a true destination of choice for all. The specific goals of the project are to address underlying barriers to women’s recruitment and advancement identified in a self-study, namely: (1) cultivate an inclusive climate, (2) interrupt and address gender bias, and (3) facilitate equitable access to and distribution of resources and opportunities. The project aims to achieve these goals by adapting evidence-based strategies from prior ADVANCE projects to the unique STEM-focused and rural context of Missouri S&T. It will apply an intersectional lens by adapting activities and measuring outcomes in ways that consider the gender, race-ethnicity, and rank of program participants and beneficiaries. These adaptions will allow tests of the generalizability of prior ADVANCE strategies to unique contexts and diverse identities.    The Missouri University of Science & Technology (S&T) ADVANCE Adaptation project will adapt three primary evidence-based strategies from prior ADVANCE projects to achieve its goals. The first strategy is to provide education and leadership development to engage current and aspiring leaders as equity-minded cultural change agents. Approaches to execute this strategy includes: implementing a distinguished lecture series with nationally recognized experts in diversity, climate, and gender issues; revising bias training for search committees; providing leadership workshops to equip campus leaders with knowledge and tools for cultivating inclusive climates and improving equity; and giving mentoring workshops for mid-career faculty. The second strategy is to provide targeted support to individual units through Department Enhancement Grants. These grants will empower departments to develop their own strategies to address equity-related problems of their own choosing while receiving support, consultation, and resources to do so effectively. The third strategy is to transform institutional structures, policies, and practices, emphasizing accountability. This strategy will be achieved by: implementing a Faculty Fellows program that provides aspiring leaders administrative placements to work on projects that will develop and enhance campus policies and resources; infusing accountability into leadership practices; reviewing and revising promotion, tenure, and workload policies; and creating an Ombud position in the Provost’s Office to amplify faculty concerns. The project is expected to improve climate, change key policies and practices, and ultimately improve women faculty representation, experiences, and outcomes, especially women from historically underrepresented racial-ethnic groups.    The NSF ADVANCE program is designed to foster gender equity through a focus on the identification and elimination of organizational barriers that impede the full participation and advancement of diverse faculty in academic institutions. Organizational barriers that inhibit equity may exist in policies, processes, practices, and the organizational culture and climate. ADVANCE ""Adaptation"" awards provide support for the adaptation and adoption of evidence-based strategies to academic, non-profit institution of higher education as well as non-academic, non-profit organizations.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
