"Download Date","Awarding Office","FAIN","Award Number","Recipient Name","Action Date (Date Terminated)","Total Amount Obligated","Total Amount Expended","Total Payment Amount (As of Termination)","Unliquidated Obligations (As of Termination)","Award Title","Presidential Action","For Cause (Put X if applicable)","Organization City","Organization State","Organization Country","PI Names","Funding Institutes","Project Terms"
"2025-04-24","NIH","OT2OD035801","3OT2OD035801-01S1","Access Health Inc","2025-04-07","$375,000.00","$0.00","0","$375,000.00","Strengthening Community-Driven Safety-Net Interventions To Improve Health And Economic Equity","N/A - Departmental Authority","-","MUSKEGON","MI","UNITED STATES","Samantha  Cornell","OD - NIH Office of the Director","Address; Affect; Application Context; Businesses; Caring; Child Care; Clinical; Collaborations; Collection; Communities; Complex; County; Data; Decrea..."
"2025-04-24","NIH","OT2OD035839","1OT2OD035839-01","Feonix - Mobility Rising","2025-04-07","$1,125,000.00","$968,241.60","968241.6","$156,758.40","Reducing Health Disparities Through Enhanced Mobility Support And Access","N/A - Departmental Authority","-","LINCOLN","NE","UNITED STATES","Valerie  Lefler","OD - NIH Office of the Director","Intervention Strategies; interventional strategy; Caring; improved; Research Resources; well-being; wellbeing; Impoverished; Intervention; Preventive;..."
"2025-04-24","NIH","OT2OD035839","3OT2OD035839-01S1","Feonix - Mobility Rising","2025-04-07","$375,000.00","$0.00","0","$375,000.00","Reducing Health Disparities Through Enhanced Mobility Support And Access","N/A - Departmental Authority","-","LINCOLN","NE","UNITED STATES","Valerie  Lefler","OD - NIH Office of the Director","Active Follow-up; Advocate; Budgets; Caring; Communities; Decrease health disparities; Electronics; Health; Health Resources; Health disparity mitigat..."
"2025-04-24","NIH","OT2OD035845","1OT2OD035845-01","Migrant Clinicians Network, Inc.","2025-04-07","$1,125,000.00","$1,125,000.00","1125000","$0.00","Humanitarian Health Care Network: Bringing The Most Vulnerable To Care","N/A - Departmental Authority","-","AUSTIN","TX","UNITED STATES","Deliana  Garcia; Anibal Yariel Lopez-Correa; Lazslo  Madaras","OD - NIH Office of the Director","Attention; Birth; Parturition; Child; 0-11 years old; Child Youth; Children (0-21); kids; youngster; Chronic Disease; Chronic Illness; chronic disorde..."
"2025-04-24","NIH","OT2OD035845","3OT2OD035845-01S1","Migrant Clinicians Network, Inc.","2025-04-07","$375,000.00","$251,018.70","251018.7","$123,981.30","Humanitarian Health Care Network: Bringing The Most Vulnerable To Care","N/A - Departmental Authority","-","AUSTIN","TX","UNITED STATES","Deliana  Garcia; Anibal Yariel Lopez-Correa; Lazslo  Madaras","OD - NIH Office of the Director","0-11 years old; 3rd trimester; Access to Care; Address; Attention; Birth; Caring; Case Management; Child; Child Health; Child Youth; Children (0-21); ..."
"2025-04-24","NIH","OT2OD035883","1OT2OD035883-01","Health Choice Network, Inc.","2025-04-07","$1,125,000.00","$1,116,253.86","1116253.86","$8,746.14","Addressing Food Insecurity In Underserved Communities","N/A - Departmental Authority","-","MIAMI","FL","UNITED STATES","Katherine  Chung-Bridges","OD - NIH Office of the Director","Attention; Awareness; Blood Pressure; Communities; Community Health Aides; community health worker; Dedications; Economics; economic; Education; Educa..."
"2025-04-24","NIH","OT2OD035883","3OT2OD035883-01S1","Health Choice Network, Inc.","2025-04-07","$374,903.00","$0.00","0","$374,903.00","Addressing Food Insecurity In Underserved Communities","N/A - Departmental Authority","-","MIAMI","FL","UNITED STATES","Katherine  Chung-Bridges","OD - NIH Office of the Director","Address; Area; Attention; Awareness; BMI; BMI percentile; BMI z-score; Black Populations; Black group; Black individual; Black people; Blacks; Blood P..."
"2025-04-24","NIH","OT2OD035940","1OT2OD035940-01","Housing Authority Of The City Of Los Angeles","2025-04-07","$1,124,989.00","$585,124.54","585124.54","$539,864.46","Watts Rising: A Vision For A Healthier Watts","N/A - Departmental Authority","-","LOS ANGELES","CA","UNITED STATES","Katrina  Kubicek","OD - NIH Office of the Director","Affect; ages; Age; Black race; Black; California; Chronic Disease; Chronic Illness; chronic disorder; Cities; Communities; Diabetes Mellitus; diabetes..."
"2025-04-24","NIH","OT2OD035940","3OT2OD035940-01S1","Housing Authority Of The City Of Los Angeles","2025-04-07","$374,976.00","$0.00","0","$374,976.00","Watts Rising: A Vision For A Healthier Watts","N/A - Departmental Authority","-","LOS ANGELES","CA","UNITED STATES","Katrina  Kubicek","OD - NIH Office of the Director","Access to Care; Address; Advocate; Affect; African American; Afro American; Afroamerican; Age; Area; Black; Black race; Businesses; California; Chroni..."
"2025-04-24","NIH","K01AG065440","5 K01 AG065440-05","University Of Iowa","2025-04-01","$610,571.00","$510,620.62","510620.62","$99,950.38","Creating Innovative Vaccine Messaging By Engaging In Patient-Centered Design With Non-Vaccinating Ol...","N/A - Departmental Authority","-","IOWA CITY","IA","UNITED STATES","Aaron Michael Scherer","NIA - National Institute on Aging","21+ years old; Accounting; Adult; Adult Human; Advisory Committees; Advocacy; Affect; Age; Aging; Attitude; Award; Baseline Surveys; Behavior; Behavio..."
"2025-04-24","NIH","R01AR080089","5 R01 AR080089-03","Northwestern University At Chicago","2025-04-01","$2,239,160.00","$1,800,315.68","1800315.68","$438,844.32","Leveraging Community-Academic Partnerships And Social Networks To Disseminate Vaccine-Related Inform...","N/A - Departmental Authority","-","CHICAGO","IL","UNITED STATES","Candace Hillary Feldman; Rosalind  Ramsey-Goldman","NIAMS - National Institute of Arthritis and Musculoskeletal and Skin Diseases","disparity in healthcare; health care inequality; health care inequity; healthcare disparity; healthcare inequality; healthcare inequity; health care a..."
"2025-04-24","NIH","R34CA283483","5 R34 CA283483-02","Brigham And Women'S Hospital","2025-04-01","$580,969.00","$404,664.87","404664.87","$176,304.13","Multi-Level School-Based Intervention To Improve Hpv Vaccine Uptake And Completion In South Africa","N/A - Departmental Authority","-","BOSTON","MA","UNITED STATES","Lisa Michelle Butler; Ingrid T. Katz","NCI - National Cancer Institute","0-11 years old; 5th grade; AIDS Virus; Acquired Immune Deficiency Syndrome Virus; Acquired Immunodeficiency Syndrome Virus; Address; Administrator; Ad..."
"2025-04-24","NIH","K22CA258675","5 K22 CA258675-03","Rutgers Biomedical And Health Sciences","2025-04-01","$659,697.00","$528,841.41","528841.41","$130,855.59","Addressing Hpv Vaccination Disparities Through Tailored Messaging For Hesitant Families","N/A - Departmental Authority","-","Newark","NJ","UNITED STATES","Racquel Elizabeth Kohler","NCI - National Cancer Institute","Active Follow-up; Address; Adolescent; Adolescent Youth; Affect; Attitude; Awareness; Behavioral; Behavioral Research; Behavioral Sciences; Belief; Bl..."
"2025-04-24","NIH","R01CA273208","5 R01 CA273208-04","Tufts Medical Center","2025-04-01","$2,002,128.00","$1,280,164.16","1280164.16","$721,963.84","Conversational Agents To Improve Hpv Vaccine Acceptance In Primary Care","N/A - Departmental Authority","-","BOSTON","MA","UNITED STATES","TIMOTHY W. BICKMORE; Michael  Paasche-Orlow; Rebecca Bernstein Perkins","NCI - National Cancer Institute","0-11 years old; 21+ years old; Address; Adolescent; Adolescent Youth; Adult; Adult Human; Age; Ambulatory Care Facilities; Anal Cancer; Anal Cancers; ..."
"2025-04-24","NIH","R01CA248216","3 R01 CA248216-04S1","University Of Tx Md Anderson Can Ctr","2025-04-01","$2,755,016.00","$2,155,997.10","2155997.1","$599,018.90","Promoting Hpv Vaccination Among Young Adults In Texas","N/A - Departmental Authority","-","HOUSTON","TX","UNITED STATES","Qian  Lu","NCI - National Cancer Institute","21+ years old; Active Follow-up; Address; Adolescent and Young Adult; Adult; Adult Human; Affect; Age; Age Years; Area; Attitude; Behavior; Behavior C..."
"2025-04-24","NIH","R37CA259210","5 R37 CA259210-04","University Of Pennsylvania","2025-04-01","$2,451,704.00","$1,629,001.21","1629001.21","$822,702.79","An Inoculation Theory-Based Messaging Intervention Addressing Misinformation About Hpv Vaccine On So...","N/A - Departmental Authority","-","PHILADELPHIA","PA","UNITED STATES","Melanie Lynn Kornides","NCI - National Cancer Institute","0-11 years old; 11 year old; 11 years of age; 3-arm study; accept HPV vaccination; accept HPV vaccine; accept human papilloma virus vaccination; accep..."
"2025-04-24","NIH","R01MH132500","5 R01 MH132500-02","Fred Hutchinson Cancer Center","2025-04-01","$1,828,286.00","$1,290,514.66","1290514.66","$537,771.34","Evaluating A Multilevel Communication Campaign To Increase Hiv Vaccine Trial Enrollment","N/A - Departmental Authority","-","SEATTLE","WA","UNITED STATES","Michele Peake Andrasik; Brian G. Southwell","NIMH - National Institute of Mental Health; OD - NIH Office of the Director","Advertising; Affect; Awareness; Systematics; Classification; Communication; Communities; Curriculum; lesson plans; Educational Curriculum; E-Mail; Ema..."
"2025-04-24","NIH","R37CA253279","5 R37 CA253279-05","Pennsylvania State Univ Hershey Med Ctr","2025-04-01","$2,001,125.00","$1,813,457.02","1813457.02","$187,667.98","Hpv Echo: Increasing The Adoption Of Evidence-Based Communication Strategies For Hpv Vaccination In ...","N/A - Departmental Authority","-","HERSHEY","PA","UNITED STATES","William Alexis Calo","NCI - National Cancer Institute","Adoption; ages; Age; Cancers; Malignant Tumor; malignancy; neoplasm/cancer; Malignant Neoplasms; Clinic Visits; Communication; Decision Making; family..."
"2025-04-24","NIH","R01DA054990","7 R01 DA054990-04","Ndri-Usa, Inc.","2025-04-01","$560,584.90","$373,940.73","373940.73","$186,644.17","Community Developed Technology-Based Messaging To Increase Sars-Cov-2 Vaccine Uptake Among People Wh...","N/A - Departmental Authority","-","NEW YORK","NY","UNITED STATES","Ian David Aronson","NIDA - National Institute on Drug Abuse","2019 novel corona virus; 2019 novel coronavirus; 2019-nCoV; 2019-nCoV vaccine; AIDS Virus; Acquired Immune Deficiency Syndrome Virus; Acquired Immunod..."
"2025-04-24","NIH","R01MD016834","5 R01 MD016834-04","Florida State University","2025-04-01","$1,905,868.68","$1,539,013.21","1539013.21","$366,855.47","A Multidimensional Digital Approach To Address Vaccine Hesitancy And Increase Covid-19 Vaccine Uptak...","N/A - Departmental Authority","-","TALLAHASSEE","FL","UNITED STATES","Henna  Budhwani; Lisa B Hightow-Weidman","NIMHD - National Institute on Minority Health and Health Disparities","ages; Age; Attention; Attitude; Behavior; Belief; Charge; Clinical Study; Clinical Research; Communication; Communities; Data Collection; Decision Mak..."
"2025-04-24","NIH","R01MD016992","5 R01 MD016992-03","Univ Of North Carolina Chapel Hill","2025-04-01","$1,860,412.00","$1,187,946.78","1187946.78","$672,465.22","Addressing Covid 19 Vaccine Hesitancy In Rural Community Pharmacies Reducing Disparities Through An ...","N/A - Departmental Authority","-","CHAPEL HILL","NC","UNITED STATES","GEOFFREY M CURRAN; Delesha Miller Carpenter","NIMHD - National Institute on Minority Health and Health Disparities","2019-nCoV vaccine; 2019-nCoV variant; 2019-nCoV variant forms; 2019-nCoV variant strains; Address; Adoption; Agreement; Ally; Automobile Driving; Budg..."
"2025-04-24","NIH","R01MD019024","7 R01 MD019024-02","Wake Forest University Health Sciences","2025-04-01","$1,562,429.00","$170,972.26","170972.26","$1,391,456.74","Advancing Communication Strategies To Support Future Hiv Vaccine Use Among African Americans In The ...","N/A - Departmental Authority","-","WINSTON-SALEM","NC","UNITED STATES","Tiarney D Ritchwood","NIMHD - National Institute on Minority Health and Health Disparities","AI system; Computer Reasoning; Machine Intelligence; Artificial Intelligence; Attitude; Behavior; Belief; Communication; Communities; Computers; Focus..."
